id,building_type_index,user_defined_building_id,shading_x_shift,shading_y_shift,orientation,x_shift_0,y_shift_0,x_origin,y_origin
3981157,2,1172,1832476.84,645387.89,82,263.91,153.62,1832212.93,645234.27
3981158,2,873,1832572.69,645358.24,81.9,359.76,123.97,1832212.93,645234.27
3981159,2,1717,1832578.73,645257.41,82.2,365.8,23.14,1832212.93,645234.27
3981160,2,1613,1832474.84,645547.17,82.2,261.91,312.9,1832212.93,645234.27
3981161,2,727,1832426.85,645283.09,82,213.92,48.82,1832212.93,645234.27
3981162,2,2056,1832625.06,645263.72,82.4,412.13,29.45,1832212.93,645234.27
3981163,2,1766,1832550.85,645452.94,81.8,337.92,218.67,1832212.93,645234.27
3981164,1,1588,1832303.18,645722.56,82.1,90.25,488.29,1832212.93,645234.27
3981165,2,1754,1832547.98,645671.39,81.9,335.05,437.12,1832212.93,645234.27
3981166,2,1688,1832613.9,645309.39,82,400.97,75.12,1832212.93,645234.27
3981167,2,982,1832491.8,645293.61,81.8,278.87,59.34,1832212.93,645234.27
3981168,2,2689,1832571.74,645303.62,82,358.81,69.35,1832212.93,645234.27
3981169,1,2289,1832534.65,645782.42,82.1,321.72,548.15,1832212.93,645234.27
3981170,2,2986,1832429.13,645281.71,82.1,216.2,47.44,1832212.93,645234.27
3981171,1,2130,1832226.65,645655.37,81.9,13.72,421.1,1832212.93,645234.27
3981172,1,3096,1832455.61,645666.62,81.6,242.68,432.35,1832212.93,645234.27
3981173,1,3237,1832507.74,645751.14,81.6,294.81,516.87,1832212.93,645234.27
3981174,0,2950,1832438.01,645525.17,81.7,225.08,290.9,1832212.93,645234.27
3981175,2,2698,1832499.5,645246.32,82.1,286.57,12.05,1832212.93,645234.27
3981176,1,3608,1832453.6,645686.78,81.7,240.67,452.51,1832212.93,645234.27
3981177,2,3644,1832563.77,645394.87,81.7,350.84,160.6,1832212.93,645234.27
3981178,2,3076,1832431.78,645234.27,82,218.85,0,1832212.93,645234.27
3981179,1,3671,1832433.63,645684.14,82.6,220.7,449.87,1832212.93,645234.27
3981180,0,3376,1832365.86,645712.22,82.2,152.93,477.95,1832212.93,645234.27
3981181,2,3307,1832566.11,645639.08,82.1,353.18,404.81,1832212.93,645234.27
3981182,2,3976,1832498.8,645488.55,82,285.87,254.28,1832212.93,645234.27
3981183,0,4646,1832388.13,645554.52,82,175.2,320.25,1832212.93,645234.27
3981184,1,4196,1832453.23,645338.57,81.4,240.3,104.3,1832212.93,645234.27
3981185,1,4317,1832332.74,645569.85,82,119.81,335.58,1832212.93,645234.27
3981186,0,4214,1832261.96,645717.67,82.1,49.03,483.4,1832212.93,645234.27
3981187,1,5005,1832404.62,645737.23,82,191.69,502.96,1832212.93,645234.27
3981188,0,4857,1832435.35,645542.61,82.3,222.42,308.34,1832212.93,645234.27
3981189,0,4045,1832452.39,645586.73,81.9,239.46,352.46,1832212.93,645234.27
3981190,0,5549,1832599.99,645493.03,82.5,387.06,258.76,1832212.93,645234.27
3981191,2,5464,1832413.83,645363.57,82.1,200.9,129.3,1832212.93,645234.27
3981192,3,8620,1832571.98,645496.36,82.3,359.05,262.09,1832212.93,645234.27
3981193,0,5762,1832445.91,645643.89,82.6,232.98,409.62,1832212.93,645234.27
3981194,1,5568,1832327.08,645613.83,82.1,114.15,379.56,1832212.93,645234.27
3981195,1,5711,1832337.39,645548.59,81.5,124.46,314.32,1832212.93,645234.27
3981196,3,7290,1832219.5,645711.56,82,6.57,477.29,1832212.93,645234.27
3981197,0,5614,1832246.49,645715.42,82.1,33.56,481.15,1832212.93,645234.27
3981198,1,9741,1832468.28,645623.19,82,255.35,388.92,1832212.93,645234.27
3981199,0,9853,1832454.7,645787.36,82.9,241.77,553.09,1832212.93,645234.27
3981200,0,9333,1832437.97,645336.58,82.2,225.04,102.31,1832212.93,645234.27
3981201,1,9086,1832448.65,645764.53,82.5,235.72,530.26,1832212.93,645234.27
3981202,0,9849,1832586.05,645498.51,82.4,373.12,264.24,1832212.93,645234.27
3981203,1,11017,1832384.67,645577.77,81.8,171.74,343.5,1832212.93,645234.27
3981204,0,6206,1832370.81,645675.34,82,157.88,441.07,1832212.93,645234.27
3981205,3,12020,1832380.23,645610.57,82.4,167.3,376.3,1832212.93,645234.27
3981206,3,10659,1832377.65,645627.74,82.1,164.72,393.47,1832212.93,645234.27
3981207,1,11308,1832511.69,645328.83,82,298.76,94.56,1832212.93,645234.27
3981208,0,12380,1832520.61,645667.9,82.2,307.68,433.63,1832212.93,645234.27
3981209,0,12192,1832335.57,645615.44,82.2,122.64,381.17,1832212.93,645234.27
3981210,0,12328,1832387.42,645562.87,81.8,174.49,328.6,1832212.93,645234.27
3981211,1,12413,1832517.35,645321.01,82,304.42,86.74,1832212.93,645234.27
3981212,2,12621,1832410.66,645383.26,82.4,197.73,148.99,1832212.93,645234.27
3981213,0,10801,1832424,645682.99,82.4,211.07,448.72,1832212.93,645234.27
3981214,0,13609,1832524.47,645640.23,82.4,311.54,405.96,1832212.93,645234.27
3981215,0,14935,1832394.12,645510.09,82.3,181.19,275.82,1832212.93,645234.27
3981216,3,15667,1832449.33,645620.28,82.4,236.4,386.01,1832212.93,645234.27
3981217,3,13382,1832212.93,645753.87,82,0,519.6,1832212.93,645234.27
3981218,0,15068,1832527.71,645633.45,82.3,314.78,399.18,1832212.93,645234.27
3981219,3,15678,1832421.39,645616.39,82.2,208.46,382.12,1832212.93,645234.27
3981220,0,15693,1832456.42,645773.07,82.4,243.49,538.8,1832212.93,645234.27
3981221,3,15715,1832232.17,645695.67,81.7,19.24,461.4,1832212.93,645234.27
3981222,3,16793,1832435.76,645618.24,82.3,222.83,383.97,1832212.93,645234.27
3981223,3,17115,1832594.82,645443.34,82.3,381.89,209.07,1832212.93,645234.27
3981224,0,15801,1832493.23,645572.22,81.8,280.3,337.95,1832212.93,645234.27
3981225,0,17026,1832432.22,645641.59,82,219.29,407.32,1832212.93,645234.27
3981226,1,19444,1832506.68,645762.23,81.8,293.75,527.96,1832212.93,645234.27
3981227,0,18204,1832469.87,645725.54,82.2,256.94,491.27,1832212.93,645234.27
3981228,1,17029,1832360.34,645749.95,82.3,147.41,515.68,1832212.93,645234.27
3981229,0,18401,1832288.05,645705.98,81.5,75.12,471.71,1832212.93,645234.27
3981230,3,17465,1832279.73,645721.06,82.3,66.8,486.79,1832212.93,645234.27
3981231,0,19680,1832435.83,645385.74,82.3,222.9,151.47,1832212.93,645234.27
3981232,3,20413,1832313.51,645567.2,82,100.58,332.93,1832212.93,645234.27
3981233,3,20290,1832335.91,645670.31,81.1,122.98,436.04,1832212.93,645234.27
3981234,0,25221,1832391.93,645527.24,82,179,292.97,1832212.93,645234.27
3981235,0,26269,1832390.58,645536.04,81.2,177.65,301.77,1832212.93,645234.27
3981236,3,28728,1832376.69,645634.1,82.1,163.76,399.83,1832212.93,645234.27
3981237,3,30681,1832297.4,645704.77,81.9,84.47,470.5,1832212.93,645234.27
3981238,3,27588,1832419.13,645334.78,82.1,206.2,100.51,1832212.93,645234.27
3981239,1,29644,1832404.09,645779.45,81.6,191.16,545.18,1832212.93,645234.27
3981240,1,18103,1832362.24,645736.62,82.1,149.31,502.35,1832212.93,645234.27
3981241,0,27986,1832471.5,645714.38,82.7,258.57,480.11,1832212.93,645234.27
3981242,0,32501,1832457.41,645388.44,82.4,244.48,154.17,1832212.93,645234.27
3981243,0,35646,1832459.7,645369.84,81.8,246.77,135.57,1832212.93,645234.27
3981244,0,38644,1832495.47,645627,82.1,282.54,392.73,1832212.93,645234.27
3981245,1,30885,1832398.55,645679.14,81.9,185.62,444.87,1832212.93,645234.27
3981246,2,72431,1832440.76,645315.88,82.3,227.83,81.61,1832212.93,645234.27
3981247,3,87997,1832223.51,645682.5,81.8,10.58,448.23,1832212.93,645234.27
3981248,3,112751,1832489.27,645626.16,82,276.34,391.89,1832212.93,645234.27
3981249,0,36483,1832331.45,645656.34,82.4,118.52,422.07,1832212.93,645234.27
3981250,0,123118,1832245.41,645736.56,82.2,32.48,502.29,1832212.93,645234.27
3981251,3,154404,1832234.24,645734.79,83.2,21.31,500.52,1832212.93,645234.27
3981252,0,148093,1832252.31,645734.98,82.2,39.38,500.71,1832212.93,645234.27
3981253,2,3061,1832504.23,645447.07,82.1,291.3,212.8,1832212.93,645234.27